ciudad_origen,ciudad_destino,horario_inicio,horario_final,dia_inicio,tipo,dia_final,duracion_viaje,precio
Vila Nova de Famalicão,Porto,21:48:00,22:18:00,2024-12-25,tren,2024-12-25,30.0,11.73
Porto,Vila Nova de Famalicão,20:10:00,20:40:00,2024-10-28,tren,2024-10-28,30.0,11.73
Vila Nova de Famalicão,Viana do Castelo,20:40:00,21:13:00,2024-10-28,tren,2024-10-28,33.0,12.43
Viana do Castelo,Valença,21:14:00,21:47:00,2024-10-28,tren,2024-10-28,33.0,12.43
Valença,Vigo,21:50:00,22:34:00,2024-10-28,tren,2024-10-28,44.0,14.98
Porto,Vila Nova de Famalicão,20:10:00,20:40:00,2024-12-15,tren,2024-12-15,30.0,11.73
Vila Nova de Famalicão,Viana do Castelo,20:40:00,21:13:00,2024-12-15,tren,2024-12-15,33.0,12.43
Viana do Castelo,Valença,21:14:00,21:47:00,2024-12-15,tren,2024-12-15,33.0,12.43
Valença,Vigo,21:49:00,22:34:00,2024-12-15,tren,2024-12-15,45.0,15.21
Porto,Vila Nova de Famalicão,20:10:00,20:40:00,2024-12-25,tren,2024-12-25,30.0,11.73
Vila Nova de Famalicão,Viana do Castelo,20:40:00,21:13:00,2024-12-25,tren,2024-12-25,33.0,12.43
Viana do Castelo,Valença,21:14:00,21:47:00,2024-12-25,tren,2024-12-25,33.0,12.43
Valença,Vigo,21:49:00,22:34:00,2024-12-25,tren,2024-12-25,45.0,15.21
Bilbao,Miranda de Ebro,15:20:00,16:50:00,2024-10-28,tren,2024-10-28,90.0,25.65
Miranda de Ebro,Haro,16:52:00,17:10:00,2024-10-28,tren,2024-10-28,18.0,8.95
Haro,Logroño,17:11:00,17:51:00,2024-10-28,tren,2024-10-28,40.0,14.05
Logroño,Calahorra,17:53:00,18:24:00,2024-10-28,tren,2024-10-28,31.0,11.96
Calahorra,Castejón,18:25:00,18:44:00,2024-10-28,tren,2024-10-28,19.0,9.18
Castejón,Tudela,18:54:00,19:07:00,2024-10-28,tren,2024-10-28,13.0,7.78
Tudela,Zaragoza,19:08:00,19:49:00,2024-10-28,tren,2024-10-28,41.0,14.28
Zaragoza,Lérida,19:52:00,20:56:00,2024-10-28,tren,2024-10-28,64.0,19.62
Lérida,la Secuita,20:58:00,21:30:00,2024-10-28,tren,2024-10-28,32.0,12.19
la Secuita,Barcelona,21:32:00,22:20:00,2024-10-28,tren,2024-10-28,48.0,15.91
Bilbao,Miranda de Ebro,15:20:00,16:50:00,2024-12-08,tren,2024-12-08,90.0,25.65
Miranda de Ebro,Haro,16:52:00,17:10:00,2024-12-08,tren,2024-12-08,18.0,8.95
Haro,Logroño,17:11:00,17:51:00,2024-12-08,tren,2024-12-08,40.0,14.05
Logroño,Calahorra,17:53:00,18:24:00,2024-12-08,tren,2024-12-08,31.0,11.96
Calahorra,Castejón,18:25:00,18:44:00,2024-12-08,tren,2024-12-08,19.0,9.18
Castejón,Tudela,18:54:00,19:07:00,2024-12-08,tren,2024-12-08,13.0,7.78
Tudela,Zaragoza,19:08:00,19:49:00,2024-12-08,tren,2024-12-08,41.0,14.28
Zaragoza,Lérida,19:52:00,20:56:00,2024-12-08,tren,2024-12-08,64.0,19.62
Lérida,la Secuita,20:58:00,21:30:00,2024-12-08,tren,2024-12-08,32.0,12.19
la Secuita,Barcelona,21:32:00,22:20:00,2024-12-08,tren,2024-12-08,48.0,15.91
Bilbao,Miranda de Ebro,15:20:00,16:50:00,2024-12-15,tren,2024-12-15,90.0,25.65
Miranda de Ebro,Haro,16:52:00,17:10:00,2024-12-15,tren,2024-12-15,18.0,8.95
Haro,Logroño,17:11:00,17:51:00,2024-12-15,tren,2024-12-15,40.0,14.05
Logroño,Calahorra,17:53:00,18:24:00,2024-12-15,tren,2024-12-15,31.0,11.96
Calahorra,Castejón,18:25:00,18:44:00,2024-12-15,tren,2024-12-15,19.0,9.18
Castejón,Tudela,18:54:00,19:07:00,2024-12-15,tren,2024-12-15,13.0,7.78
Tudela,Zaragoza,19:08:00,19:49:00,2024-12-15,tren,2024-12-15,41.0,14.28
Zaragoza,Lérida,19:52:00,20:56:00,2024-12-15,tren,2024-12-15,64.0,19.62
Lérida,la Secuita,20:58:00,21:30:00,2024-12-15,tren,2024-12-15,32.0,12.19
la Secuita,Barcelona,21:32:00,22:20:00,2024-12-15,tren,2024-12-15,48.0,15.91
Barcelona,la Secuita,08:45:00,09:20:00,2024-10-28,tren,2024-10-28,35.0,12.89
la Secuita,Lérida,09:22:00,09:57:00,2024-10-28,tren,2024-10-28,35.0,12.89
Lérida,Zaragoza,09:59:00,10:45:00,2024-10-28,tren,2024-10-28,46.0,15.44
Zaragoza,Tudela,10:48:00,11:33:00,2024-10-28,tren,2024-10-28,45.0,15.21
Tudela,Castejón,11:34:00,11:45:00,2024-10-28,tren,2024-10-28,11.0,7.32
Castejón,Calahorra,12:00:00,12:16:00,2024-10-28,tren,2024-10-28,16.0,8.48
Calahorra,Logroño,12:17:00,12:52:00,2024-10-28,tren,2024-10-28,35.0,12.89
Logroño,Haro,12:53:00,13:36:00,2024-10-28,tren,2024-10-28,43.0,14.75
Haro,Miranda de Ebro,13:37:00,13:51:00,2024-10-28,tren,2024-10-28,14.0,8.02
Miranda de Ebro,Bilbao,13:54:00,15:36:00,2024-10-28,tren,2024-10-28,102.0,28.44
Barcelona,la Secuita,08:45:00,09:20:00,2024-12-08,tren,2024-12-08,35.0,12.89
