name,lat,lon,city,country
Estación de tren Ulldecona -Alcanar-La Senia,40.595924,0.44927,Ulldecona,España
Estación de tren Almassora/almazora,39.9548444,-0.0767722,Almazora/Almassora,España
Estación de tren Burriana-Alquerias Ninyo Perdido,39.8964287,-0.1038666,Les Alqueries,España
Estación de tren Nules-La Vilavella,39.8531222,-0.1527555,Nules,España
Estación de tren Chilches,39.7825944,-0.1903333,Xilxes / Chilches,España
Estación de tren Almenara,39.7487555,-0.2183805,Almenara,España
Estación de tren Pucol,39.6171903,-0.3048578,Puçol,España
Estación de tren El Puig,39.5882111,-0.3116472,el Puig de Santa Maria,España
Estación de tren Albuixech,39.5433,-0.3205777,Albuixech,España
Estación de tren Almansa,38.867822,-1.105446,Almansa,España
Estación de tren Silla,39.3617388,-0.4149472,Silla,España
Estación de tren Alcoy/alcoi,38.709349,-0.470247,Alcoi / Alcoy,España
Estación de tren Genoves,38.98773,-0.47988,Genovés,España
Estación de tren Beniganim,38.938499,-0.453424,Benigànim,España
Estación de tren La Pobla del Duc,38.907606,-0.453386,la Pobla del Duc,España
Estación de tren Montaverner,38.884135,-0.491619,Montaverner,España
Estación de tren Bufali,38.867405,-0.510478,Bufali,España
Estación de tren Albaida,38.845645,-0.518129,Albaida,España
Estación de tren Agullent,38.830569,-0.551183,Agullent,España
Estación de tren Ontinyent,38.809692,-0.602457,Ontinyent,España
Estación de tren Agres,38.796829,-0.521744,Agres,España
Estación de tren Cocentaina,38.740618,-0.446789,Cocentaina,España
Estación de tren Alfafar-Benetusser,39.4223277,-0.3926,Alfafar,España
Estación de tren Massanassa,39.4091638,-0.3953194,Massanassa,España
Estación de tren Catarroja,39.3999611,-0.3991916,Catarroja,España
Estación de tren Benifaio-Almussafes,39.2842194,-0.42995,Benifaió,España
Estación de tren Algemesi,39.1931111,-0.4409083,Algemesí,España
Estación de tren Alzira,39.1531194,-0.4506,Alzira,España
Estación de tren Carcaixent,39.1204694,-0.4543833,Carcaixent,España
Estación de tren La Pobla Llarga,39.083475,-0.4697027,La Pobla Llarga,España
Estación de tren L.enova Manuel,39.0501935,-0.4778516,l'Énova,España
Estación de tren Roca-Cuper,39.5261277,-0.3237777,Meliana,España
Estación de tren La Llosa,39.7680118,-0.2030695,la Llosa,España
Estación de tren Massalfassar-Albuixech,39.5556333,-0.3182861,Massalfassar,España
Estación de tren Novelda-Aspe,38.407086,-0.777744,Novelda,España
Estación de tren Sax,38.544251,-0.813729,Sax,España
Estación de tren Sant Celoni,41.686024,2.491262,Sant Celoni,España
Estación de tren Macanet-Massanes,41.778657,2.678775,Riudarenes,España
Estación de tren Sils,41.807683,2.74486,Sils,España
Estación de tren Caldes de Malavella,41.841098,2.800765,Caldes de Malavella,España
Estación de tren Flaca,42.047596,2.957506,Flaçà,España
Estación de tren Quinto,41.419528,-0.490673,Quinto,España
